condition,seed,extra_objects,noise_std_m,candidate_count,correct_candidates,candidate_precision,candidate_recall,oracle_translation_error_m,oracle_yaw_error_deg
noise_005,63,0,0.05,34,10,0.29411764705882354,1.0,0.02448970767409319,0.12899344124899811
noise_005,64,0,0.05,34,10,0.29411764705882354,1.0,0.016373375971359787,0.019887351604808548
noise_005,65,0,0.05,34,10,0.29411764705882354,1.0,0.02752093173751612,0.020890025749853523
noise_005,66,0,0.05,34,10,0.29411764705882354,1.0,0.004098306180239926,0.7281456695920044
noise_005,67,0,0.05,34,10,0.29411764705882354,1.0,0.03156487642628029,0.11453027547192308
noise_005,68,0,0.05,34,10,0.29411764705882354,1.0,0.01842525897586336,0.16909927544442754
noise_005,69,0,0.05,34,10,0.29411764705882354,1.0,0.004305538356393588,0.28701219741629663
noise_005,70,0,0.05,34,10,0.29411764705882354,1.0,0.019960337435121985,0.25376413409538007
noise_005,71,0,0.05,34,10,0.29411764705882354,1.0,0.01990667757729238,0.19961608430700972
noise_010,42,0,0.1,34,10,0.29411764705882354,1.0,0.05433494940606385,0.15732323016451266
noise_010,43,0,0.1,34,10,0.29411764705882354,1.0,0.0045776893934342386,0.9120914199187102
noise_010,44,0,0.1,34,10,0.29411764705882354,1.0,0.03923840730510965,0.4452815466496384
noise_010,45,0,0.1,34,10,0.29411764705882354,1.0,0.08526897410454808,0.3404978399942913
noise_010,46,0,0.1,34,10,0.29411764705882354,1.0,0.036168975170184456,0.00923296979744093
noise_010,47,0,0.1,34,10,0.29411764705882354,1.0,0.03967053303739207,0.23353046995416044
noise_010,48,0,0.1,34,10,0.29411764705882354,1.0,0.019893496201377096,0.356045197307326
noise_010,49,0,0.1,34,10,0.29411764705882354,1.0,0.050010778978690676,0.20689749996457793
noise_010,50,0,0.1,34,10,0.29411764705882354,1.0,0.033305934895298976,0.2971020000239031
noise_010,51,0,0.1,34,10,0.29411764705882354,1.0,0.04715456483431477,1.060652610568639
noise_010,52,0,0.1,34,10,0.29411764705882354,1.0,0.06441483927825412,0.7252491875720208
noise_010,53,0,0.1,34,10,0.29411764705882354,1.0,0.0387956937397584,0.21788354097822996
noise_010,54,0,0.1,34,10,0.29411764705882354,1.0,0.05254840666123225,0.3570846951137683
noise_010,55,0,0.1,34,10,0.29411764705882354,1.0,0.05668575514419832,0.865147765768003
noise_010,56,0,0.1,34,10,0.29411764705882354,1.0,0.012077252515862164,0.5205818263156954
noise_010,57,0,0.1,34,10,0.29411764705882354,1.0,0.04141238285915866,0.5581571866723324
noise_010,58,0,0.1,34,10,0.29411764705882354,1.0,0.020359397878009625,0.052228128348952275
noise_010,59,0,0.1,34,10,0.29411764705882354,1.0,0.048884503214614836,0.26202384879608415
noise_010,60,0,0.1,34,10,0.29411764705882354,1.0,0.03100922263549973,0.07404464528734561
noise_010,61,0,0.1,34,10,0.29411764705882354,1.0,0.014920639204008372,0.8298350395147744
noise_010,62,0,0.1,34,10,0.29411764705882354,1.0,0.016487779063563992,0.1685651871816756
noise_010,63,0,0.1,34,10,0.29411764705882354,1.0,0.04898654001521309,0.25752323400780813
noise_010,64,0,0.1,34,10,0.29411764705882354,1.0,0.03275124436679024,0.03991948542887122
noise_010,65,0,0.1,34,10,0.29411764705882354,1.0,0.055043869524254184,0.04158434097711003
noise_010,66,0,0.1,34,10,0.29411764705882354,1.0,0.008161034743917087,1.4576121214784383
noise_010,67,0,0.1,34,10,0.29411764705882354,1.0,0.06312815297342413,0.2290873230784179
noise_010,68,0,0.1,34,10,0.29411764705882354,1.0,0.036895784357851125,0.33585924429316777
noise_010,69,0,0.1,34,10,0.29411764705882354,1.0,0.008624038488937245,0.5771197272531626
noise_010,70,0,0.1,34,10,0.29411764705882354,1.0,0.039947330087128086,0.5070808791362986
noise_010,71,0,0.1,34,10,0.29411764705882354,1.0,0.03980941364230015,0.40012828236033604
noise_020,42,0,0.2,34,10,0.29411764705882354,1.0,0.108718951742873,0.3105370152048946
noise_020,43,0,0.2,34,10,0.29411764705882354,1.0,0.008571791397793588,1.8485345702725553
noise_020,44,0,0.2,34,10,0.29411764705882354,1.0,0.0787185048788121,0.8804543341186217
noise_020,45,0,0.2,34,10,0.29411764705882354,1.0,0.17042699208992354,0.6759471741228122
noise_020,46,0,0.2,34,10,0.29411764705882354,1.0,0.07233720150857435,0.01842054015713001
noise_020,47,0,0.2,34,10,0.29411764705882354,1.0,0.07936317773028802,0.4658840424949454
noise_020,48,0,0.2,34,10,0.29411764705882354,1.0,0.03988946238874145,0.7154964720105567
noise_020,49,0,0.2,34,10,0.29411764705882354,1.0,0.10005139333349594,0.4126209884285707
noise_020,50,0,0.2,34,10,0.29411764705882354,1.0,0.06659745245293668,0.5959245839388445
noise_020,51,0,0.2,34,10,0.29411764705882354,1.0,0.09406047964351627,2.096653007193413
